gene	chromosome	start	end	log2	depth	weight	probes
ENSG00000162591	chr1	3490459	3624570	-0.413696	68.3704	21.344	27
ENSG00000158109	chr1	3625421	3631119	-0.470211	190.778	4.03271	5
ENSG00000227372	chr1	3743181	3752801	-0.384841	142.42	2.83745	4
ENSG00000162592	chr1	3752479	3781338	-0.204082	199.902	9.08989	11
ENSG00000198912	chr1	3889957	4051535	-0.350481	124.809	5.18241	6
ENSG00000116237	chr1	6225077	6244448	-0.221712	214.345	4.77236	5
ENSG00000173673	chr1	6244363	6251532	-0.270092	134.067	1.58439	3
ENSG00000069812	chr1	6413192	6428421	-1.04512	89.1039	1.95832	4
ENSG00000162413	chr1	6593362	6616860	-0.27256	119.076	7.27736	9
ENSG00000041988	chr1	6628496	6635702	-0.320242	162.318	5.31981	7
ENSG00000142583	chr1	9037583	9069001	-0.209658	153.81	8.44813	12
ENSG00000180758	chr1	9104416	9151167	-0.221257	52.3047	5.02948	6
ENSG00000241563	chr1	10450071	10461704	-0.216681	200.146	2.1356	3
ENSG00000272078	chr1	10639500	10654593	-0.261973	139.81	10.8464	15
ENSG00000116649	chr1	11054959	11066750	-0.232191	154.008	3.65756	6
ENSG00000285833	chr1	11500990	11502899	-0.383443	109.076	4.65991	5
ENSG00000215910	chr1	11761786	11790900	-0.322263	113.748	3.92786	7
ENSG00000120937	chr1	11857577	11910683	-0.225544	99.5259	3.10061	4
ENSG00000116685	chr1	11922761	11944662	-0.23797	118.72	4.80858	6
ENSG00000116691	chr1	12021724	12063096	-0.300806	97.0925	6.95683	8
ENSG00000188984	chr1	12719475	12745928	0.235233	296.169	4.84416	6
ENSG00000116726	chr1	12774870	12847700	0.384633	446.422	2.80254	5
ENSG00000233485	chr1	15327058	15345190	-0.275034	189.401	3.77466	5
ENSG00000142634	chr1	15425868	15438506	-0.462561	138.952	2.11685	4
ENSG00000142615	chr1	15456751	15476167	0.281583	258.254	6.36842	9
ENSG00000215704	chr1	15467383	15493037	0.350039	291.682	6.05018	10
ENSG00000116786	chr1	15716235	15736865	-0.207624	155.043	15.1317	19
ENSG00000237938	chr1	15721327	15737996	-0.231661	144.526	14.0735	17
ENSG00000162458	chr1	15767373	15806873	0.315279	198.226	4.23498	7
ENSG00000142632	chr1	16198584	16216061	-0.21733	115.485	11.0198	15
ENSG00000237276	chr1	16215935	16228372	-0.400619	78.4068	2.71687	4
ENSG00000055070	chr1	16391374	16398824	-0.217622	140.215	3.0126	4
ENSG00000268869	chr1	16696778	16719463	0.246204	204.656	1.71705	3
ENSG00000117122	chr1	16975266	16986360	-0.415154	164.974	3.90164	7
ENSG00000286898	chr1	16976498	16986360	-0.373317	179.188	3.34293	5
ENSG00000053371	chr1	19304222	19324764	0.234076	229.469	4.83227	6
ENSG00000158786	chr1	20140163	20163490	0.301024	170.391	3.35521	4
ENSG00000162545	chr1	20483646	20500187	-0.409461	81.5533	2.59911	3
ENSG00000158825	chr1	20589127	20633046	-0.253059	95.0524	4.54964	5
ENSG00000142794	chr1	21472840	21553579	0.414717	329.691	2.58263	4
ENSG00000285959	chr1	21983691	22077976	-0.409189	152.428	8.17812	12
ENSG00000142789	chr1	22003000	22077976	-0.469503	146.847	5.86753	8
ENSG00000162552	chr1	22120047	22142343	0.281979	178.831	5.01635	7
LRG_22	chr1	22637614	22647504	-0.348251	117.552	4.68431	5
ENSG00000173372	chr1	22637614	22647504	-0.348251	117.552	4.68431	5
ENSG00000249087	chr1	23369295	23387419	-0.262126	162.116	2.30734	4
ENSG00000189266	chr1	23961455	23967725	-0.333339	174.148	2.29766	3
ENSG00000286061	chr1	24514370	24594928	-0.28209	133.687	5.83741	6
ENSG00000117602	chr1	24514370	24594928	-0.28209	133.687	5.83741	6
ENSG00000133226	chr1	24643324	24745051	-0.356195	203.263	11.965	17
ENSG00000117640	chr1	25823018	25835276	0.284109	315.182	5.93792	8
ENSG00000158014	chr1	26039157	26051885	-0.278361	158.059	6.19239	9
ENSG00000176092	chr1	26321965	26361150	-0.206068	132.715	13.5678	19
ENSG00000175793	chr1	26863210	26879174	-0.294931	105.94	3.35839	4
ENSG00000198746	chr1	26890802	26910642	-0.254306	151.388	5.16146	7
ENSG00000174950	chr1	27380044	27393296	-0.220336	112.694	4.22672	5
ENSG00000181773	chr1	27393796	27407686	0.258866	216.595	3.59776	5
ENSG00000126709	chr1	27666378	27725578	-0.215031	56.1629	2.31914	3
ENSG00000117758	chr1	27773305	27830893	-0.269087	171.995	7.65639	11
ENSG00000242125	chr1	28507364	28516853	-0.436947	179.284	2.54205	3
ENSG00000198492	chr1	28737118	28811881	-0.227448	178.192	10.3192	12
ENSG00000121764	chr1	31619190	31635524	-0.238666	140.109	5.72293	8
ENSG00000162517	chr1	31630610	31652855	-0.43942	106.298	3.81069	5
ENSG00000235790	chr1	31644838	31661121	-0.565632	103.077	4.8434	6
ENSG00000084636	chr1	31652648	31726917	-0.258249	131.57	33.7539	45
ENSG00000254545	chr1	31790831	31792440	-0.373742	73.3939	1.51426	3
ENSG00000084652	chr1	32180343	32202101	-0.238527	199.146	7.52265	10
ENSG00000224066	chr1	32204595	32207122	0.387362	444.652	1.42186	3
ENSG00000227409	chr1	35358922	35370115	-0.203837	196.92	4.54592	5
ENSG00000171812	chr1	36097566	36136700	-0.242149	80.0932	4.53887	5
ENSG00000214193	chr1	36307769	36341252	-0.312857	123.963	10.6662	13
ENSG00000214114	chr1	38864636	38874806	-0.546045	148.639	3.5854	5
ENSG00000158315	chr1	38886501	38990878	-0.208813	171.087	7.50634	8
ENSG00000226438	chr1	39250011	39258030	0.339913	320.609	2.31357	3
ENSG00000163909	chr1	39626956	39658618	-0.235521	87.227	3.8268	4
ENSG00000131238	chr1	40071447	40160897	0.224571	264.934	7.92806	9
LRG_690	chr1	40074058	40160897	0.251955	273.778	7.2987	8
ENSG00000117010	chr1	40533164	40626014	-0.238014	163.363	5.53516	7
ENSG00000164007	chr1	42735083	42746852	-0.462078	116.013	2.93525	4
ENSG00000177868	chr1	42807411	42830535	0.207901	300.186	2.5548	3
ENSG00000229431	chr1	43387502	43389764	0.413827	460.173	1.34817	3
ENSG00000178028	chr1	44214538	44221642	-0.315407	161.873	7.55801	9
ENSG00000198520	chr1	44689697	44739430	-0.30341	106.969	6.72094	8
ENSG00000280670	chr1	45495058	45500415	-0.352363	180.142	2.94631	4
ENSG00000117450	chr1	45514504	45561292	0.234992	338.995	3.42786	5
ENSG00000117472	chr1	46184188	46188980	0.232814	349.682	4.6694	7
ENSG00000197587	chr1	46507008	46546825	0.236158	144.083	3.62814	5
ENSG00000162368	chr1	47333943	47415813	-0.282842	113.953	6.64795	8
ENSG00000223390	chr1	52033495	52050965	0.202845	211.852	2.73722	3
ENSG00000116157	chr1	52602407	52632991	-0.270695	138.995	3.14582	4
ENSG00000182183	chr1	52642860	52687217	0.252741	176.735	1.72737	4
ENSG00000162377	chr1	52687717	52726151	0.216806	245.916	3.97315	5
ENSG00000236723	chr1	53210012	53214738	-0.216666	216.518	5.43296	7
ENSG00000157211	chr1	54139517	54170593	-0.252772	90.3591	4.13493	5
ENSG00000280425	chr1	54139517	54144815	-0.393657	117.198	3.17326	4
ENSG00000143001	chr1	54986094	54999365	0.302548	225.931	2.06572	3
ENSG00000233271	chr1	54986094	54999365	0.302548	225.931	2.06572	3
ENSG00000184292	chr1	58576182	58660157	-0.429052	97.2235	3.30229	4
ENSG00000177606	chr1	58782072	58893044	0.260533	192.224	2.60979	3
ENSG00000226883	chr1	59757928	59814615	-0.257649	52.8011	1.97613	3
ENSG00000240563	chr1	62206879	62237774	-0.359398	154.585	4.3153	5
ENSG00000162607	chr1	62439865	62455486	-0.2337	185.552	11.6327	13
ENSG00000162595	chr1	68046605	68098129	0.285561	242.746	3.47071	4
ENSG00000118454	chr1	70262714	70355210	-0.322566	162.34	14.1894	17
ENSG00000162620	chr1	74041210	74197776	-0.23211	92.5494	10.823	12
ENSG00000162614	chr1	77916104	77947552	-0.31387	203.579	11.1192	14
LRG_442	chr1	77916104	77947552	-0.31387	203.579	11.1192	14
ENSG00000162613	chr1	77947516	78004608	-0.376088	185.703	18.8775	23
LRG_995	chr1	77948763	78004608	-0.377688	185.208	18.8045	22
ENSG00000174021	chr1	84501842	84516395	-0.706801	167.096	2.54601	3
ENSG00000117151	chr1	84554996	84630113	-0.240482	154.571	6.76865	8
ENSG00000097096	chr1	85158749	85252126	0.407261	397.76	7.00861	13
ENSG00000183291	chr1	86863473	86913527	-0.254772	139.455	6.71508	8
ENSG00000213516	chr1	88981702	89007221	0.24203	264.164	4.42966	6
ENSG00000117228	chr1	89053352	89108293	0.24594	336.203	7.04079	10
ENSG00000286802	chr1	89132146	89147781	0.202971	334.426	3.10644	4
ENSG00000143032	chr1	90712309	90916295	0.260048	161.177	3.04879	4
ENSG00000203914	chr1	91642364	91683236	0.235504	324.796	4.37961	6
ENSG00000223745	chr1	93264698	93346143	0.258791	214.801	3.26181	4
ENSG00000067334	chr1	93869708	93889161	0.220133	334.2	7.10754	10
ENSG00000226026	chr1	95173813	95230401	0.227544	168.036	3.78507	4
ENSG00000122481	chr1	95244208	95394771	0.200722	241.257	3.50885	4
ENSG00000228852	chr1	95244208	95394771	0.200722	241.257	3.50885	4
ENSG00000162694	chr1	100873939	100896344	-0.28066	207.325	6.17583	8
ENSG00000060718	chr1	102878016	103247643	-0.342336	144.961	51.2382	67
ENSG00000243480	chr1	103619657	103660653	0.297613	352.338	1.6601	3
ENSG00000162639	chr1	108648563	108692089	-0.277161	170.853	6.95843	8
ENSG00000174151	chr1	109495678	109507675	0.352611	366.074	2.04515	3
ENSG00000258634	chr1	110060730	110064905	-0.325293	131.623	2.818	3
ENSG00000156150	chr1	110060730	110112032	-0.208589	98.704	3.77631	4
LRG_1265	chr1	110060730	110112032	-0.208589	98.704	3.77631	4
ENSG00000177272	chr1	110673079	110890906	0.234292	240.369	3.75685	5
ENSG00000116455	chr1	111441227	111454358	-0.270267	187.373	6.91899	9
ENSG00000116459	chr1	111449052	111475526	-0.237945	197.6	6.24781	8
ENSG00000143110	chr1	111476026	111483759	-0.244574	186.065	3.61903	5
ENSG00000155380	chr1	112913888	113072904	-0.231476	195.883	6.48094	8
ENSG00000116793	chr1	113697702	113766216	-0.260193	169.987	17.8916	21
ENSG00000188761	chr1	113881096	113895278	-0.259678	199.141	3.83123	5
ENSG00000134200	chr1	115033360	115049987	0.357625	265.639	2.45545	3
ENSG00000177551	chr1	115837962	115976714	-0.558135	64.0967	2.52601	3
ENSG00000203864	chr1	116694129	116754555	0.219601	235.79	4.54501	6
ENSG00000092607	chr1	118884729	118987090	-0.307362	138.94	8.01594	10
ENSG00000134193	chr1	119794126	119834262	0.269723	269.894	4.39703	6
ENSG00000231752	chr1	121564654	121609448	-0.28571	111.28	3.4362	4
ENSG00000265531	chr1	143880489	144055079	0.365404	274.018	1.62785	3
ENSG00000234571	chr1	143880489	144055079	0.365404	274.018	1.62785	3
ENSG00000186364	chr1	145846595	145850271	0.265904	260.303	3.66204	5
ENSG00000211451	chr1	145919391	145925929	-0.403083	133.18	2.65292	3
ENSG00000265972	chr1	145993848	146017574	0.204937	305.931	6.50717	8
ENSG00000131791	chr1	147159562	147178390	-0.358331	159.158	4.56191	8
ENSG00000188092	chr1	147928534	148333979	0.245643	204.8	5.69493	8
ENSG00000143368	chr1	149926373	149928903	-0.249721	186.795	4.27691	5
ENSG00000117362	chr1	150266519	150272865	-0.30154	192.534	4.55058	6
ENSG00000143384	chr1	150578241	150600613	0.379528	186.473	2.11955	3
ENSG00000143420	chr1	150625632	150647818	0.227266	239.79	3.89011	6
ENSG00000143390	chr1	151342019	151364040	-0.289031	156.725	7.7476	10
LRG_101	chr1	151342019	151364040	-0.289031	156.725	7.7476	10
ENSG00000143416	chr1	151364540	151399085	0.265424	237.946	4.09856	7
ENSG00000159377	chr1	151399585	151405076	0.237394	371.938	3.73912	7
ENSG00000143375	chr1	151518517	151540428	-0.221008	155.357	17.6849	23
ENSG00000143436	chr1	151760047	151766888	-0.23476	200.458	6.15747	7
ENSG00000143450	chr1	151763324	151774506	-0.231198	192.241	3.59444	5
ENSG00000249602	chr1	151763324	151771259	-0.245027	200.937	2.75899	4
ENSG00000159445	chr1	151876998	151908857	-0.224028	133.384	5.96195	7
ENSG00000285651	chr1	151888270	151908857	-0.224553	130.639	4.12516	5
ENSG00000229021	chr1	152032659	152084219	-0.260639	199.579	2.72479	4
ENSG00000163191	chr1	152032659	152084219	-0.260639	199.579	2.72479	4
ENSG00000182898	chr1	152084169	152106882	0.212109	345.232	10.8827	13
ENSG00000159450	chr1	152107382	152154241	0.420299	370.938	8.91635	15
ENSG00000237975	chr1	152213073	152511032	0.289033	340.528	22.8642	31
ENSG00000143631	chr1	152302697	152350107	0.25981	308.077	5.63017	7
LRG_1028	chr1	152302697	152350107	0.25981	308.077	5.63017	7
ENSG00000143520	chr1	152350607	152409091	0.452153	466.411	7.80535	11
ENSG00000143536	chr1	152409591	152511032	0.293013	259.161	4.08144	5
ENSG00000198854	chr1	152719521	152759835	0.210683	343.832	2.87082	4
ENSG00000203786	chr1	152759586	152775924	0.220836	249.577	6.35193	8
ENSG00000163207	chr1	152909795	152971388	-0.372471	110.471	3.83346	4
ENSG00000143546	chr1	153390100	153417580	0.357827	231.841	2.11973	3
ENSG00000188643	chr1	153607531	153615024	-0.235007	164.748	2.35956	3
ENSG00000189334	chr1	153614882	153619040	-0.234138	168.197	2.63963	4
ENSG00000189171	chr1	153618892	153631532	-0.207357	207.054	3.06215	5
ENSG00000160678	chr1	153628426	153636655	-0.279591	157.374	3.57646	4
ENSG00000163263	chr1	154199424	154207650	0.312826	399.355	1.75221	4
ENSG00000160714	chr1	154550935	154569609	0.217787	301.78	9.63124	12
ENSG00000160716	chr1	154569459	154585045	0.226458	262.516	6.02813	7
ENSG00000163348	chr1	154958776	154964348	-0.299613	154.585	4.7514	6
ENSG00000243364	chr1	155063821	155085406	-0.330815	152.068	5.12799	6
ENSG00000251246	chr1	155063821	155127475	-0.259353	134.054	8.24033	10
ENSG00000169241	chr1	155135909	155140332	-0.202745	180.214	5.58332	6
ENSG00000173171	chr1	155210343	155214684	0.23552	299.064	2.86792	4
ENSG00000160767	chr1	155247398	155256793	-0.227772	141.188	8.40818	13
ENSG00000203761	chr1	155746795	155750733	-0.692887	117.308	2.8911	4
ENSG00000132718	chr1	155867962	155899885	-0.228441	171.446	5.3526	6
ENSG00000160803	chr1	156036975	156054959	-0.221614	166.506	8.85573	12
ENSG00000160789	chr1	156126544	156154076	-0.308346	104.69	9.7732	13
LRG_254	chr1	156126544	156154076	-0.308346	104.69	9.7732	13
ENSG00000132702	chr1	156623488	156645552	-0.55145	50.4822	3.66384	5
ENSG00000143321	chr1	156743446	156767269	-0.345425	110.535	5.38845	7
ENSG00000160838	chr1	156920803	156936060	-0.222534	171.713	7.91621	11
ENSG00000158473	chr1	158181452	158254729	0.227919	338.688	3.24551	7
ENSG00000158477	chr1	158254667	158290127	0.358282	340.47	3.86562	6
ENSG00000173285	chr1	158465559	158479375	0.249702	294.046	4.64269	5
ENSG00000163568	chr1	159063483	159171263	0.229726	264.048	5.14022	6
ENSG00000122224	chr1	160796185	160831429	0.218328	267.459	9.81979	13
ENSG00000179914	chr1	160876661	160945294	0.214052	298.303	5.99294	7
ENSG00000198358	chr1	160945137	160950168	-0.358053	168.178	2.36095	3
ENSG00000215845	chr1	161037774	161040011	-0.482945	131.83	1.96459	3
ENSG00000158869	chr1	161215319	161222524	0.254693	337.017	4.59428	6
ENSG00000158882	chr1	161226487	161230935	-0.247424	160.775	9.63778	12
ENSG00000143257	chr1	161229680	161238531	-0.209344	198.14	7.20483	9
ENSG00000158887	chr1	161305871	161314427	-0.307595	164.229	4.3955	6
LRG_256	chr1	161305871	161314427	-0.307595	164.229	4.3955	6
ENSG00000132196	chr1	162790798	162853170	0.248249	337.234	5.15643	9
ENSG00000185860	chr1	162853027	163068433	0.30349	326.723	4.21781	5
ENSG00000237463	chr1	165544294	165631738	0.205585	207.797	4.27954	5
ENSG00000162763	chr1	165544294	165631738	0.205585	207.797	4.27954	5
ENSG00000215834	chr1	166620816	166840454	0.229613	244.133	3.40521	4
ENSG00000198842	chr1	167094847	167220397	-0.282707	143.6	10.2291	16
ENSG00000143158	chr1	167920544	167937252	-0.214034	74.9952	2.68806	4
ENSG00000143178	chr1	168281088	168375023	0.215458	254.457	6.19182	9
ENSG00000188404	chr1	169696534	169725241	-0.213883	205.876	7.32458	9
ENSG00000203740	chr1	170146107	170349951	0.202794	277.251	3.49403	5
ENSG00000224228	chr1	173041365	173186013	0.659003	295.923	2.18381	3
ENSG00000120337	chr1	173041365	173186013	0.659003	295.923	2.18381	3
ENSG00000120334	chr1	173800445	173824727	-0.271121	174.571	5.54564	6
ENSG00000185278	chr1	173870223	173903386	-0.285562	136.367	6.40542	8
ENSG00000203737	chr1	174448109	174547336	0.264179	352.768	4.45885	5
ENSG00000143337	chr1	179882500	179954603	-0.262666	165.527	13.5899	15
ENSG00000135824	chr1	182646732	182793869	0.239122	187.479	5.11294	6
ENSG00000162704	chr1	183623456	183647175	-0.239151	146.097	3.79435	5
ENSG00000116406	chr1	184693052	184790527	-0.246004	186.669	18.4667	23
ENSG00000116747	chr1	193059411	193096761	-0.201056	173.155	11.4664	14
ENSG00000023572	chr1	193091648	193121287	-0.27813	117.817	5.24107	6
LRG_149	chr1	196825474	196888210	0.253376	308.64	5.6537	6
ENSG00000244414	chr1	196825474	196888210	0.253376	308.64	5.6537	6
ENSG00000134365	chr1	196888148	196943378	0.240053	296.526	8.08678	10
LRG_1224	chr1	196888148	196943378	0.240053	296.526	8.08678	10
ENSG00000213047	chr1	197510457	197902149	-0.234143	122.678	25.5965	33
ENSG00000229989	chr1	198858872	199005614	0.413827	245.73	2.46065	3
ENSG00000234132	chr1	201040228	201043533	-0.203245	124.462	2.9782	4
ENSG00000163395	chr1	201193293	201283200	-0.235752	124.759	16.6842	21
ENSG00000198892	chr1	201889442	201896580	0.25979	240.711	1.99248	3
ENSG00000159388	chr1	203305604	203341840	-0.227157	68.0383	2.23294	3
ENSG00000176754	chr1	204037070	204112028	-0.481157	78.2203	2.91507	3
ENSG00000174529	chr1	205083550	205088817	-0.271046	202.997	3.55155	4
ENSG00000162891	chr1	206865822	206897330	0.255804	230.991	3.61578	4
ENSG00000082497	chr1	210237958	210348473	0.211924	311.684	5.07379	6
ENSG00000117724	chr1	214605498	214834857	-0.230255	220.863	37.6709	45
ENSG00000143512	chr1	222523609	222558157	-0.21319	191.177	6.94329	10
ENSG00000272750	chr1	222659450	222662126	-0.219259	190.812	5.21561	6
ENSG00000186063	chr1	222669890	222715802	-0.220558	167.542	7.55195	10
ENSG00000178395	chr1	223393741	223537531	-0.505334	87.2137	5.65173	7
ENSG00000162923	chr1	224389832	224616672	-0.274072	165.284	11.4782	15
ENSG00000242861	chr1	225842363	225847215	0.212788	244.578	3.12368	4
ENSG00000196187	chr1	225847037	225887092	-0.201477	173.005	16.2622	20
ENSG00000203685	chr1	226596799	226634168	-0.279454	133.127	4.87911	6
ENSG00000162910	chr1	228106757	228139801	0.348204	123.135	3.11992	4
ENSG00000270110	chr1	228299257	228306638	0.313398	255.645	1.38232	3
ENSG00000116574	chr1	228737670	228912559	0.202635	247.841	2.63438	4
ENSG00000168118	chr1	229288726	229324732	0.20402	226.712	4.79908	6
ENSG00000143632	chr1	229431496	229442042	0.211404	260.424	4.31701	6
LRG_429	chr1	229431496	229442042	0.211404	260.424	4.31701	6
ENSG00000286071	chr1	231770832	231854344	-0.311582	79.0062	5.99459	7
ENSG00000212916	chr1	232805023	232950208	0.218904	314.644	7.39642	10
ENSG00000168243	chr1	235552106	235662437	0.248741	184.415	3.15953	4
ENSG00000227230	chr1	243136142	243142463	-0.224252	271.162	1.80384	3
ENSG00000232085	chr1	243164544	243169754	0.287748	410.247	5.03494	7
ENSG00000035687	chr1	244409583	244463958	-0.215311	176.014	11.163	15
ENSG00000162851	chr1	246541028	246591060	-0.241919	162.89	8.30505	9
ENSG00000197617	chr1	247256071	247300016	0.419922	345.834	3.50579	5
ENSG00000177489	chr1	247588357	247605083	0.223783	324.682	4.42574	5
ENSG00000153230	chr1	247738614	247756959	0.385669	357.179	2.40885	5
ENSG00000196772	chr1	247814797	247841168	-0.250994	213.856	4.18807	5
ENSG00000162722	chr1	247860614	247895084	-0.299152	157.655	4.63884	6
ENSG00000279263	chr1	247949126	247964829	0.363843	321.674	2.27301	3
ENSG00000224227	chr1	247990510	248022651	0.632183	614.029	2.291	4
ENSG00000197454	chr1	248022416	248037765	0.550692	310.131	1.72107	3
ENSG00000203663	chr1	248038265	248060179	0.334473	411.859	2.26493	5
ENSG00000198128	chr1	248060932	248099608	0.40914	501.406	2.65393	4
ENSG00000198601	chr1	248180236	248202565	0.336529	288.94	1.50227	3
ENSG00000228198	chr1	248203462	248238426	0.205259	276.174	2.00758	3
ENSG00000177186	chr1	248323627	248348272	0.21585	233.777	2.12927	4
ENSG00000196539	chr1	248473348	248488086	-0.44078	104.113	1.34761	3
ENSG00000279301	chr1	248626175	248637784	-0.204585	176.977	4.37683	5
ENSG00000171161	chr1	248847272	248850518	-0.237211	163.113	3.07367	5
ENSG00000171163	chr1	248850207	248913360	-0.218558	142.998	9.84133	12
ENSG00000151353	chr2	669577	793479	-0.263152	100.862	5.56434	7
ENSG00000182551	chr2	3498960	3531802	-0.262521	103.494	6.05439	7
ENSG00000118004	chr2	3604314	3670603	-0.206262	112.414	7.22336	9
LRG_350	chr2	3604314	3670603	-0.206262	112.414	7.22336	9
ENSG00000119185	chr2	9406831	9423825	-0.243583	176.335	5.41397	6
ENSG00000271952	chr2	10847576	10911924	0.392019	133.951	1.87167	3
ENSG00000232056	chr2	10847576	10911924	0.392019	133.951	1.87167	3
ENSG00000145063	chr2	11124582	11140551	-0.214894	149.738	2.5365	3
ENSG00000162981	chr2	14633977	14822063	-0.212153	45.9375	2.78399	4
ENSG00000143878	chr2	20447463	20499416	0.213204	132.787	2.15255	3
ENSG00000119771	chr2	23507042	23751545	-0.262552	91.7476	14.587	17
ENSG00000242628	chr2	24210777	24245626	0.263373	247.431	4.86089	6
ENSG00000184924	chr2	24790408	24793501	-0.243506	155.389	2.39417	3
ENSG00000115138	chr2	25161078	25233776	-0.328842	71.9696	3.07215	4
ENSG00000171303	chr2	26692873	26763847	-0.201587	62.3821	4.58344	6
ENSG00000163792	chr2	27149708	27199933	0.218272	125.035	2.76317	3
ENSG00000138085	chr2	27213174	27218018	0.205214	300.819	5.49084	6
ENSG00000115194	chr2	27255085	27276843	-0.214852	122.667	8.81545	11
ENSG00000163793	chr2	27276726	27298064	-0.211666	165.871	3.4492	4
ENSG00000205334	chr2	27707580	27771275	-0.282428	97.2908	1.99403	3
ENSG00000075426	chr2	28392809	28495612	-0.215148	104.102	5.46198	7
ENSG00000119801	chr2	30156649	30231236	0.213131	206.402	2.84446	3
ENSG00000021574	chr2	32063829	32165398	-0.31076	132.239	18.5937	22
LRG_714	chr2	32063829	32165398	-0.31076	132.239	18.5937	22
ENSG00000152689	chr2	33516540	33584273	0.202447	281.791	9.41365	12
ENSG00000138061	chr2	38070719	38295493	-0.455784	105.953	3.92768	6
ENSG00000232973	chr2	38074343	38295493	-0.585483	42.2296	2.39859	4
ENSG00000227028	chr2	40115250	40336824	-0.206216	150.333	10.7007	12
ENSG00000205086	chr2	41938602	42047699	-0.354759	117.203	4.51998	5
ENSG00000162881	chr2	42762905	42767679	-0.451456	106.279	3.46916	5
ENSG00000223658	chr2	43675611	43678927	0.292243	373.841	2.91882	4
ENSG00000138032	chr2	44201197	44275750	-0.251571	197.079	9.67746	11
ENSG00000138083	chr2	44942372	45005667	-0.259133	54.0987	3.59371	4
ENSG00000284608	chr2	46479585	46511528	-0.340267	53.88	2.6196	3
ENSG00000284701	chr2	46479585	46511528	-0.340267	53.88	2.6196	3
ENSG00000163001	chr2	55519799	55550008	-0.221957	206.592	9.167	11
ENSG00000138035	chr2	55636234	55866570	-0.271576	169.908	23.8396	28
ENSG00000115464	chr2	61187908	61478968	-0.200888	184.647	70.9423	87
ENSG00000115484	chr2	61868689	61905176	-0.277623	178.542	11.55	14
ENSG00000236498	chr2	61868689	61888509	-0.258163	194.968	10.5744	13
ENSG00000286360	chr2	61878866	61883550	-0.349334	221.856	1.94791	3
ENSG00000115507	chr2	63053931	63121503	0.349452	130.548	3.87082	5
ENSG00000286480	chr2	63152911	63229327	-0.235815	95.6927	4.34328	5
ENSG00000119862	chr2	64455341	64525013	0.205636	289.122	3.4393	5
ENSG00000230749	chr2	66439842	66461361	0.257649	178.026	3.06248	4
ENSG00000115956	chr2	68365297	68463706	0.27719	245.883	6.96664	9
ENSG00000204923	chr2	68464206	68489687	0.379656	261.687	2.49429	3
ENSG00000087338	chr2	69829890	69893482	-0.213087	171.575	10.9753	13
ENSG00000124380	chr2	69893982	69914828	0.220696	298.877	2.83792	6
ENSG00000233849	chr2	70301407	70449104	-0.291836	35.7416	2.64003	3
ENSG00000163235	chr2	70451746	70662922	-0.246559	71.5374	6.92868	8
