ensg	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Log10[padj]	Gene stable ID	Gene name
ENSG00000157613	225.4906902	-3.083199248	0.205980847	-14.96837836	1.18E-50	1.79E-48	47.747146969	ENSG00000157613	CREB3L1
ENSG00000133169	300.4081985	-10.02878159	0.932164511	-10.75859623	5.40E-27	2.51E-25	24.600326279	ENSG00000133169	BEX1
ENSG00000137033	1604.448738	11.94012072	0.569251086	20.97513912	1.11E-97	7.39E-95	94.131355562	ENSG00000137033	IL33
ENSG00000137975	1340.38135	11.66983854	0.590638711	19.75799814	6.85E-87	3.31E-84	83.480172006	ENSG00000137975	CLCA2
ENSG00000137745	458.9348589	10.61379972	0.751433061	14.12474413	2.67E-45	3.20E-43	42.494850022	ENSG00000137745	MMP13
ENSG00000186847	979.3642577	10.5664139	0.482637183	21.89307884	3.02E-106	2.46E-103	102.60906489	ENSG00000186847	KRT14
ENSG00000128422	2316.810771	10.19576399	0.336261344	30.32095172	6.07E-202	2.90E-198	197.537602	ENSG00000128422	KRT17
ENSG00000196562	581.2571562	10.11102227	0.610353854	16.56583667	1.23E-61	2.78E-59	58.555955204	ENSG00000196562	SULF2
ENSG00000166670	95.02688382	10.02581528	0.904877285	11.0797513	1.57E-28	7.98E-27	26.097997109	ENSG00000166670	MMP10
ENSG00000062038	348.6645656	9.96694037	0.656045188	15.19246014	3.97E-52	6.46E-50	49.189767482	ENSG00000062038	CDH3
ENSG00000178573	159.2546679	9.822162964	0.926038403	10.60664755	2.78E-26	1.22E-24	23.913640169	ENSG00000178573	MAF
ENSG00000164692	145.7565404	9.68962225	0.935432578	10.35844002	3.83E-25	1.55E-23	22.809668302	ENSG00000164692	COL1A2
ENSG00000184564	760.7380238	9.591938918	0.412248493	23.26737172	9.49E-120	9.61E-117	116.01727661	ENSG00000184564	SLITRK6
ENSG00000101825	83.11966743	9.356666834	1.124185619	8.323062199	8.57E-17	1.80E-15	14.744727495	ENSG00000101825	MXRA5
ENSG00000152583	115.3173765	9.355730746	0.927069674	10.09172342	6.01E-24	2.29E-22	21.640164518	ENSG00000152583	SPARCL1
ENSG00000113657	996.6055722	9.306045742	0.39379736	23.63155952	1.83E-123	1.97E-120	119.70553377	ENSG00000113657	DPYSL3
ENSG00000029559	41.06385732	9.30367285	1.797390338	5.176211673	2.26E-07	1.57E-06	5.8041003476	ENSG00000029559	IBSP
ENSG00000118785	53.25537935	9.195927436	1.67240217	5.498634002	3.83E-08	2.96E-07	6.5287082889	ENSG00000118785	SPP1
ENSG00000196104	356.6616436	9.155769789	0.620508903	14.75525933	2.85E-49	3.94E-47	46.404503778	ENSG00000196104	SPOCK3
ENSG00000286042	158.2149164	9.150058798	0.948577102	9.646088626	5.11E-22	1.69E-20	19.772113295	ENSG00000286042	LCAL1
ENSG00000073756	1396.449336	9.108724354	0.659783935	13.80561706	2.36E-43	2.55E-41	40.59345982	ENSG00000073756	PTGS2
ENSG00000286442	92.40234009	9.032788234	0.83901652	10.76592417	4.99E-27	2.32E-25	24.634512015	ENSG00000286442	
ENSG00000255398	66.25967941	9.030535246	0.917302016	9.844669576	7.23E-23	2.58E-21	20.588380294	ENSG00000255398	HCAR3
ENSG00000235947	175.0763675	8.973950218	0.70566429	12.71702472	4.76E-37	3.89E-35	34.410050399	ENSG00000235947	EGOT
ENSG00000169245	38.28845359	8.727031901	0.980254506	8.902822535	5.44E-19	1.39E-17	16.8569852	ENSG00000169245	CXCL10
ENSG00000186081	3074.542723	8.722457538	0.325232991	26.81910442	1.93E-158	4.04E-155	154.39361863	ENSG00000186081	KRT5
ENSG00000261026	74.47427916	8.70726741	0.886048267	9.827080235	8.61E-23	3.04E-21	20.517126416	ENSG00000261026	
ENSG00000166482	25.11471532	8.591668755	0.945274193	9.089075758	9.99E-20	2.74E-18	17.562249437	ENSG00000166482	MFAP4
ENSG00000182782	148.9307129	8.517521266	0.618005648	13.78227091	3.26E-43	3.50E-41	40.455931956	ENSG00000182782	HCAR2
ENSG00000182050	378.866815	8.51392217	0.514107514	16.56058692	1.34E-61	3.01E-59	58.521433504	ENSG00000182050	MGAT4C
ENSG00000287403	30.71093045	8.41204285	0.9350649	8.996212832	2.34E-19	6.20E-18	17.207608311	ENSG00000287403	
ENSG00000241458	21.87023311	8.377463561	0.928262029	9.024890928	1.80E-19	4.82E-18	17.316952962	ENSG00000241458	RPL7P19
ENSG00000149573	389.2032386	8.356193525	0.466839195	17.89951149	1.19E-71	3.55E-69	68.449771647	ENSG00000149573	MPZL2
ENSG00000006210	163.0119427	8.291626356	0.600911947	13.79840491	2.61E-43	2.81E-41	40.55129368	ENSG00000006210	CX3CL1
ENSG00000161381	161.6354659	8.243112567	0.671079325	12.2833654	1.11E-34	8.03E-33	32.095284455	ENSG00000161381	PLXDC1
ENSG00000119922	622.4722693	8.228092516	0.422197352	19.48873547	1.37E-84	6.26E-82	81.203425667	ENSG00000119922	IFIT2
ENSG00000189431	52.9504214	8.210106503	0.841779858	9.753270322	1.79E-22	6.14E-21	20.211831629	ENSG00000189431	RASSF10
ENSG00000136244	742.7211837	8.178272814	0.625737003	13.06982451	4.90E-39	4.51E-37	36.345823458	ENSG00000136244	IL6
ENSG00000134757	118.5278519	8.175815294	0.655028343	12.48162066	9.41E-36	7.24E-34	33.140261434	ENSG00000134757	DSG3
ENSG00000169248	35.91605695	8.155664389	0.907714837	8.984830983	2.59E-19	6.82E-18	17.166215625	ENSG00000169248	CXCL11
ENSG00000135114	279.8203116	8.139855553	0.76164223	10.68724295	1.17E-26	5.28E-25	24.277366077	ENSG00000135114	OASL
ENSG00000121742	81.41738518	8.114029094	0.753116698	10.77393333	4.57E-27	2.14E-25	24.669586227	ENSG00000121742	GJB6
ENSG00000180638	35.1884915	8.087352598	0.893240048	9.05395209	1.38E-19	3.73E-18	17.428291168	ENSG00000180638	SLC47A2
ENSG00000140379	77.48858404	8.048877781	0.869075824	9.261421804	2.02E-20	5.90E-19	18.229147988	ENSG00000140379	BCL2A1
ENSG00000019991	572.8740401	8.03775495	0.498200118	16.13358701	1.48E-58	2.98E-56	55.525783736	ENSG00000019991	HGF
ENSG00000232810	22.95996483	7.99782004	0.911550689	8.773862096	1.73E-18	4.24E-17	16.372634143	ENSG00000232810	TNF
ENSG00000102760	42.98401614	7.929384793	0.869570578	9.118736298	7.60E-20	2.12E-18	17.673664139	ENSG00000102760	RGCC
ENSG00000106819	30.87815454	7.923928161	1.266169942	6.258186915	3.89E-10	3.92E-09	8.406713933	ENSG00000106819	ASPN
ENSG00000125740	5786.776637	7.888442927	0.241425748	32.67440603	3.61E-234	3.01E-230	229.5214335	ENSG00000125740	FOSB
ENSG00000179388	208.0104094	7.881492542	0.430728274	18.29806171	8.57E-75	2.81E-72	71.55129368	ENSG00000179388	EGR3
ENSG00000169435	109.852723	7.874916328	0.683322944	11.52444301	9.94E-31	5.77E-29	28.238824187	ENSG00000169435	RASSF6
ENSG00000182492	66.45386673	7.833066342	0.736259024	10.63900894	1.96E-26	8.73E-25	24.058985756	ENSG00000182492	BGN
ENSG00000087494	93.90610563	7.828043035	0.62786623	12.46769241	1.12E-35	8.54E-34	33.068542129	ENSG00000087494	PTHLH
ENSG00000139044	132.5418681	7.817381413	0.483368549	16.17271423	7.86E-59	1.62E-56	55.790484985	ENSG00000139044	B4GALNT3
ENSG00000141668	128.7120962	7.771110433	0.585825606	13.26522833	3.68E-40	3.48E-38	37.458420756	ENSG00000141668	CBLN2
ENSG00000196611	318.0603532	7.745543728	0.702976604	11.01820982	3.12E-28	1.56E-26	25.806875402	ENSG00000196611	MMP1
ENSG00000108950	27.68093622	7.735495016	0.888096054	8.710200863	3.03E-18	7.23E-17	16.140861703	ENSG00000108950	FAM20A
ENSG00000143502	47.38140665	7.648051966	0.856232837	8.932210536	4.18E-19	1.08E-17	16.966576245	ENSG00000143502	SUSD4
ENSG00000249464	331.221888	7.63249951	0.482217098	15.82793216	2.00E-56	3.68E-54	53.434152181	ENSG00000249464	LINC01091
ENSG00000176907	43.40663729	7.535248853	0.826249255	9.11982529	7.52E-20	2.10E-18	17.677780705	ENSG00000176907	TCIM
ENSG00000169129	43.70247508	7.531908272	0.790314213	9.530270555	1.57E-21	5.02E-20	19.299296283	ENSG00000169129	AFAP1L2
ENSG00000230266	16.19528718	7.499091057	0.889171144	8.433799392	3.35E-17	7.29E-16	15.137272472	ENSG00000230266	XXYLT1-AS2
ENSG00000288007	32.35333518	7.491998058	0.892814001	8.391443293	4.80E-17	1.03E-15	14.987162775	ENSG00000288007	
ENSG00000164400	74.55477048	7.490044966	0.693848634	10.79492644	3.64E-27	1.71E-25	24.76700389	ENSG00000164400	CSF2
ENSG00000122641	852.3473139	7.490010637	0.261534159	28.63874708	2.21E-180	9.24E-177	176.03432803	ENSG00000122641	INHBA
ENSG00000086570	1284.937748	7.478741526	0.886510501	8.436156728	3.28E-17	7.16E-16	15.145086978	ENSG00000086570	FAT2
ENSG00000121858	82.34959881	7.470621865	0.638222541	11.70535572	1.20E-31	7.31E-30	29.136082623	ENSG00000121858	TNFSF10
ENSG00000170345	7211.953712	7.445434723	0.285683897	26.06179345	9.89E-150	1.65E-146	145.78251606	ENSG00000170345	FOS
ENSG00000287235	15.24379294	7.39951405	0.967763555	7.645993706	2.07E-14	3.40E-13	12.468521083	ENSG00000287235	
ENSG00000089127	76.42312505	7.360848496	0.619406486	11.88371234	1.44E-32	9.31E-31	30.031050319	ENSG00000089127	OAS1
ENSG00000158352	38.40727907	7.360487988	1.113754428	6.608717147	3.88E-11	4.41E-10	9.3555614105	ENSG00000158352	SHROOM4
ENSG00000159261	121.0572664	7.308890739	0.581767644	12.56324722	3.36E-36	2.66E-34	33.575118363	ENSG00000159261	CLDN14
ENSG00000134321	36.71105488	7.282784851	0.938447671	7.760459189	8.46E-15	1.45E-13	12.838631998	ENSG00000134321	RSAD2
ENSG00000177300	13.77421985	7.261149893	0.933022566	7.782394725	7.12E-15	1.23E-13	12.910094889	ENSG00000177300	CLDN22
ENSG00000196189	379.9184652	7.230500025	0.357181999	20.24318148	4.08E-91	2.27E-88	87.643974143	ENSG00000196189	SEMA4A
ENSG00000113248	19.17550979	7.215928708	0.877048741	8.227511615	1.91E-16	3.86E-15	14.413412695	ENSG00000113248	PCDHB15
ENSG00000287454	25.63300387	7.185235043	0.848246675	8.47069049	2.44E-17	5.37E-16	15.270025714	ENSG00000287454	
ENSG00000260244	35.00863714	7.1724617	0.938309412	7.644026169	2.11E-14	3.45E-13	12.462180905	ENSG00000260244	
ENSG00000265801	13.57349905	7.170762486	0.959984308	7.469666351	8.04E-14	1.24E-12	11.906578315	ENSG00000265801	
ENSG00000145283	100.4193015	7.167316398	0.515980721	13.89066705	7.22E-44	8.06E-42	41.093664958	ENSG00000145283	SLC10A6
ENSG00000019582	25.30388003	7.166338765	0.91868038	7.800687725	6.16E-15	1.07E-13	12.970616222	ENSG00000019582	CD74
ENSG00000132688	184.2435296	7.158883528	0.485743757	14.7379836	3.68E-49	5.01E-47	46.300162274	ENSG00000132688	NES
ENSG00000284526	13.21580278	7.152806041	0.909827297	7.861718447	3.79E-15	6.76E-14	13.170053304	ENSG00000284526	
ENSG00000075213	519.3826045	7.141316704	0.274522732	26.01357148	3.48E-149	5.53E-146	145.25727487	ENSG00000075213	SEMA3A
ENSG00000185745	446.0174601	7.103541303	0.464409042	15.2958721	8.15E-53	1.37E-50	49.863279433	ENSG00000185745	IFIT1
ENSG00000125538	1637.620603	7.102558977	0.715313676	9.929292862	3.10E-23	1.13E-21	20.946921557	ENSG00000125538	IL1B
ENSG00000129151	17.37535281	7.063403477	0.940097252	7.513481674	5.76E-14	8.99E-13	12.046240308	ENSG00000129151	BBOX1
ENSG00000254044	17.36972846	7.060446652	0.97625003	7.232211457	4.75E-13	6.68E-12	11.175223538	ENSG00000254044	
ENSG00000133067	47.66650167	7.057103767	0.80008613	8.820430079	1.14E-18	2.83E-17	16.548213564	ENSG00000133067	LGR6
ENSG00000271216	23.11585698	7.040587986	0.875166344	8.044856881	8.63E-16	1.64E-14	13.785156152	ENSG00000271216	LINC01050
ENSG00000287774	8.359170146	7.037394371	0.951396971	7.396906432	1.39E-13	2.10E-12	11.677780705	ENSG00000287774	
ENSG00000123610	217.3883329	7.037382988	0.382459992	18.40031151	1.31E-75	4.41E-73	72.355561411	ENSG00000123610	TNFAIP6
ENSG00000196542	46.11462436	7.016527277	0.681125434	10.30137318	6.95E-25	2.79E-23	22.554395797	ENSG00000196542	SPTSSB
ENSG00000171346	694.1392569	6.993979091	0.678332654	10.31054461	6.31E-25	2.54E-23	22.595166283	ENSG00000171346	KRT15
ENSG00000111335	290.9565579	6.985756482	0.399320371	17.49411499	1.59E-68	4.31E-66	65.36552273	ENSG00000111335	OAS2
ENSG00000171951	73.54572512	6.969153708	0.712872188	9.776161595	1.43E-22	4.95E-21	20.305394801	ENSG00000171951	SCG2
ENSG00000241544	65.7525036	6.963340606	0.588795737	11.82641139	2.85E-32	1.80E-30	29.744727495	ENSG00000241544	LINC02029
ENSG00000165072	164.8842569	6.946111492	0.43441949	15.98941035	1.51E-57	2.94E-55	54.53165267	ENSG00000165072	MAMDC2
ENSG00000162772	3781.001012	6.904441091	0.242543523	28.46681285	3.02E-178	9.16E-175	174.03810453	ENSG00000162772	ATF3
ENSG00000133110	2314.074854	6.868141942	0.424977142	16.16120319	9.47E-59	1.94E-56	55.71219827	ENSG00000133110	POSTN
ENSG00000186832	40.48092792	6.851377515	0.639212384	10.71846805	8.34E-27	3.84E-25	24.415668776	ENSG00000186832	KRT16
ENSG00000102271	47.11213918	6.843036387	0.606772291	11.27776678	1.69E-29	9.21E-28	27.03574037	ENSG00000102271	KLHL4
ENSG00000090104	26.37990287	6.825766179	0.799339967	8.539252956	1.35E-17	3.04E-16	15.517126416	ENSG00000090104	RGS1
ENSG00000176971	479.1007117	6.809009955	0.344855873	19.74450917	8.94E-87	4.21E-84	83.375717904	ENSG00000176971	FIBIN
ENSG00000163909	45.43630464	6.78513173	0.755646639	8.979238941	2.73E-19	7.16E-18	17.145086978	ENSG00000163909	HEYL
ENSG00000122378	64.45597374	6.768447621	0.518929752	13.0430903	6.96E-39	6.33E-37	36.19859629	ENSG00000122378	PRXL2A
ENSG00000070731	14.35339449	6.767696323	0.898268601	7.534156619	4.92E-14	7.71E-13	12.112945622	ENSG00000070731	ST6GALNAC2
ENSG00000164283	75.29931263	6.767150407	0.904625966	7.480605972	7.40E-14	1.14E-12	11.943095149	ENSG00000164283	ESM1
ENSG00000125845	902.8268408	6.731595781	0.646358762	10.41464303	2.13E-25	8.78E-24	23.056505484	ENSG00000125845	BMP2
ENSG00000165474	962.8492947	6.728222125	0.288249791	23.34163749	1.68E-120	1.75E-117	116.75696195	ENSG00000165474	GJB2
ENSG00000170961	206.4820598	6.718025216	0.448749227	14.97055553	1.14E-50	1.74E-48	47.759450752	ENSG00000170961	HAS2
ENSG00000154258	182.0180531	6.710691872	0.42809432	15.6757321	2.22E-55	3.94E-53	52.404503778	ENSG00000154258	ABCA9
ENSG00000249751	6.590230471	6.6994038	1.0818757	6.192396965	5.93E-10	5.83E-09	8.2343314452	ENSG00000249751	ECSCR
ENSG00000132386	54.6613255	6.690430962	0.562724203	11.88936059	1.34E-32	8.72E-31	30.059483515	ENSG00000132386	SERPINF1
ENSG00000198691	13.19721127	6.687272081	0.899865793	7.431410474	1.07E-13	1.63E-12	11.787812396	ENSG00000198691	ABCA4
ENSG00000119508	217.2326852	6.681980956	0.322766641	20.70220435	3.31E-95	2.01E-92	91.696803943	ENSG00000119508	NR4A3
ENSG00000255750	6.84717982	6.678970981	0.942126896	7.089247753	1.35E-12	1.80E-11	10.744727495	ENSG00000255750	
ENSG00000049540	85.13868072	6.674226977	0.494156329	13.50630678	1.44E-41	1.45E-39	38.838631998	ENSG00000049540	ELN
ENSG00000143546	17.98267338	6.664508872	1.007804609	6.612897789	3.77E-11	4.29E-10	9.3675427078	ENSG00000143546	S100A8
ENSG00000016602	9.043976294	6.645112414	0.987183417	6.731385778	1.68E-11	2E-10	9.6989700043	ENSG00000016602	CLCA4
ENSG00000187479	52.58827101	6.643034441	0.571292572	11.62807775	2.97E-31	1.78E-29	28.749579998	ENSG00000187479	C11orf96
ENSG00000130513	226.7738226	6.638718379	0.341311066	19.45063914	2.88E-84	1.30E-81	80.886056648	ENSG00000130513	GDF15
ENSG00000234692	9.02643345	6.604283357	0.955337178	6.913039197	4.74E-12	6.00E-11	10.22184875	ENSG00000234692	
ENSG00000148175	191.2952292	6.55431194	0.410542849	15.96498869	2.24E-57	4.28E-55	54.368556231	ENSG00000148175	STOM
ENSG00000152580	67.79243779	6.550127668	0.564914753	11.59489576	4.37E-31	2.60E-29	28.585026652	ENSG00000152580	IGSF10
ENSG00000099260	92.81086923	6.524270942	0.405462751	16.09092557	2.95E-58	5.87E-56	55.231361899	ENSG00000099260	PALMD
ENSG00000102290	16.62737146	6.512474461	0.876046078	7.433940548	1.05E-13	1.61E-12	11.793174124	ENSG00000102290	PCDH11X
ENSG00000279537	16.15979716	6.465387934	0.854336705	7.567728155	3.80E-14	6.05E-13	12.218244625	ENSG00000279537	
ENSG00000155761	11.389501	6.465268584	0.904681451	7.146458651	8.90E-13	1.21E-11	10.91721463	ENSG00000155761	SPAG17
ENSG00000137558	30.76752903	6.455950308	0.726353227	8.888169103	6.21E-19	1.58E-17	16.801342913	ENSG00000137558	PI15
ENSG00000257907	5.680102595	6.430412573	1.081681958	5.94482743	2.77E-09	2.49E-08	7.6038006529	ENSG00000257907	EEF1A1P17
ENSG00000237864	7.62889892	6.421152706	0.947564769	6.776478946	1.23E-11	1.49E-10	9.8268137316	ENSG00000237864	LINC00322
ENSG00000164116	110.0585683	6.419433693	0.616507578	10.41257873	2.17E-25	8.96E-24	23.04769199	ENSG00000164116	GUCY1A1
ENSG00000251293	5.4560367	6.419425856	1.139591375	5.633094456	1.77E-08	1.43E-07	6.8446639625	ENSG00000251293	
ENSG00000162520	69.90934563	6.414293122	0.536334023	11.95951189	5.79E-33	3.82E-31	30.417936637	ENSG00000162520	SYNC
ENSG00000175745	45.0092636	6.405624264	0.567921441	11.27906749	1.67E-29	9.09E-28	27.041436117	ENSG00000175745	NR2F1
ENSG00000121797	7.505287034	6.40510307	1.007156262	6.359592161	2.02E-10	2.12E-09	8.6736641391	ENSG00000121797	CCRL2
ENSG00000094963	10.62696742	6.390253089	1.042790038	6.128034271	8.90E-10	8.56E-09	8.0675262353	ENSG00000094963	FMO2
ENSG00000251034	24.38581885	6.370077053	0.912192529	6.9832594	2.88E-12	3.73E-11	10.428291168	ENSG00000251034	
ENSG00000223770	34.08825698	6.366073936	0.662945306	9.602713649	7.79E-22	2.54E-20	19.595166283	ENSG00000223770	CACNA2D1-AS1
ENSG00000277999	14.80264224	6.357918462	0.878315984	7.238759828	4.53E-13	6.40E-12	11.193820026	ENSG00000277999	
ENSG00000142619	68.32070692	6.348321853	0.835349709	7.599597846	2.97E-14	4.77E-13	12.321481621	ENSG00000142619	PADI3
ENSG00000162771	19.06623366	6.348173589	0.764041256	8.308679061	9.68E-17	2.02E-15	14.694648631	ENSG00000162771	FAM71A
ENSG00000274092	5.090758946	6.32720381	1.041253738	6.076524463	1.23E-09	1.16E-08	7.9355420108	ENSG00000274092	
ENSG00000173198	5.037009529	6.313778535	1.198936046	5.266151234	1.39E-07	9.95E-07	6.0021769193	ENSG00000173198	CYSLTR1
ENSG00000230838	7.195902293	6.302533286	1.091843666	5.772377019	7.82E-09	6.61E-08	7.1797985405	ENSG00000230838	LINC01614
ENSG00000242113	13.69760594	6.292122974	0.888206994	7.084072762	1.40E-12	1.87E-11	10.728158393	ENSG00000242113	RN7SL124P
ENSG00000237187	159.6090958	6.275318136	0.289733541	21.65892879	5.01E-104	3.80E-101	100.4202164	ENSG00000237187	NR2F1-AS1
ENSG00000267013	9.884378359	6.275251832	1.142053108	5.494711052	3.91E-08	3.02E-07	6.519993057	ENSG00000267013	LINC01929
ENSG00000222448	7.044354441	6.272655591	0.998063485	6.284826249	3.28E-10	3.34E-09	8.4762535332	ENSG00000222448	RN7SKP150
ENSG00000255442	4.966336367	6.263918481	1.183950653	5.290692198	1.22E-07	8.78E-07	6.0565054841	ENSG00000255442	
ENSG00000287390	7.254238564	6.250763724	1.012428792	6.174028014	6.66E-10	6.51E-09	8.1864190114	ENSG00000287390	
ENSG00000120471	13.86935999	6.244883541	0.915528662	6.821068307	9.04E-12	1.11E-10	9.9546770212	ENSG00000120471	TP53AIP1
ENSG00000139318	1914.584091	6.242454925	0.197471387	31.61194657	2.53E-219	1.41E-215	214.85078089	ENSG00000139318	DUSP6
ENSG00000139329	22.30556925	6.242176716	0.880866021	7.086408795	1.38E-12	1.84E-11	10.735182177	ENSG00000139329	LUM
ENSG00000286334	9.613259916	6.241947915	0.919952733	6.785074591	1.16E-11	1.41E-10	9.8507808873	ENSG00000286334	
ENSG00000173269	13.75358422	6.240938031	0.869014297	7.181628721	6.89E-13	9.51E-12	11.021819483	ENSG00000173269	MMRN2
ENSG00000134326	13.3195813	6.230753411	1.023006852	6.090627253	1.12E-09	1.07E-08	7.9706162223	ENSG00000134326	CMPK2
ENSG00000115009	153.8649103	6.222455719	0.548861629	11.33702082	8.60E-30	4.79E-28	27.319664487	ENSG00000115009	CCL20
ENSG00000183486	91.11975897	6.201785555	0.460704858	13.46151544	2.63E-41	2.65E-39	38.576754126	ENSG00000183486	MX2
ENSG00000288013	6.660306427	6.196358563	0.994710483	6.229308596	4.68E-10	4.67E-09	8.3306831194	ENSG00000288013	
ENSG00000242097	21.64968515	6.183345439	0.741928254	8.334155503	7.81E-17	1.64E-15	14.785156152	ENSG00000242097	
ENSG00000105371	51.73718477	6.181596268	0.680381241	9.085488986	1.03E-19	2.83E-18	17.548213564	ENSG00000105371	ICAM4
ENSG00000120594	525.0144467	6.170932723	0.334281335	18.46029697	4.31E-76	1.50E-73	72.823908741	ENSG00000120594	PLXDC2
ENSG00000159339	9.552421014	6.161950754	0.939311332	6.560072834	5.38E-11	6.04E-10	9.2189630614	ENSG00000159339	PADI4
ENSG00000187054	12.81859088	6.150721079	0.86203981	7.135077767	9.67E-13	1.31E-11	10.882728704	ENSG00000187054	TMPRSS11A
