gene_short_name	q_value	estimate	total_transcripts
TPRG	2.84e-09	0.6386015	3074
H1F10	3.71e-05	0.6382338	2769
ZFP618	4.28e-08	0.6371259	2607
H2-Q4	0.008158756	0.6288146	1504
NA	3.77e-17	0.6241304	6045
HECTD2	0.000325905	0.6218734	1786
ONECUT3	2.6e-27	0.6195648	9490
VTCN1	4.19e-05	0.6160627	2167
FOXC1	0.011378472	0.6126592	1340
MLF1	8.06e-15	0.6125121	5159
B930036N10RIK	4.66e-12	0.6087038	10108
PIMREG	2.58e-10	0.6084738	3744
SHCBP1	5.4e-25	0.6078202	8760
MKI67	1.2e-25	0.6066695	12627
IQGAP3	6.02e-08	0.6026725	2920
KIF11	2.07e-14	0.6005893	6340
SYT11	4.16e-14	0.5999484	5207
MYBL2	2.88e-05	0.5960428	1949
TROAP	0.0003885911	0.5955452	1883
LTBP4	0.0015871104	0.5937449	2195
PON2	2.64e-37	0.5870225	11688
CKAP2	2.83e-17	0.58253	8822
H2AC20	4.52e-10	0.5785994	5191
CELF4	1.5e-22	0.577662	8329
CDK1	7.43e-42	0.5688343	32151
H1F4	4.17e-11	0.5686879	6192
GAS2	6.95e-25	0.5667911	10173
FIGN	0.00012691092	0.5653872	2354
CRADD	1.96e-31	0.5650084	10160
MCM5	8.58e-26	0.5608994	10607
ERC2	0.0003670342	0.5602225	2078
CSRP2	4.23e-73	0.5599418	71436
KIF18A	3.76e-07	0.5592538	3210
FOXA1	5.91e-05	0.5588274	2300
GAS2L3	2.66e-16	0.5577185	7922
ARRDC3	0.0001863512	0.5574331	2596
FBXO5	5.62e-08	0.5551366	4218
PPM1L	3.81e-13	0.5492688	4980
CYS1	0.0446472	0.5489344	1511
NKX2-3	3.57e-34	0.5463088	15160
OSBPL6	0.0004728856	0.5422844	2210
AIRN	1.39e-05	0.5404602	2716
CP	8.3e-30	0.5388714	81321
CCND2	1.99e-23	0.5375304	24404
SOCS2	4.65e-83	0.537239	75594
IL33	1.52e-26	0.5341431	75849
BICD1	6.24e-33	0.5339599	18775
TCF19	6e-05	0.5302628	2655
TMEM64	0.00019718184	0.5300972	2399
ULBP1	1.19e-06	0.5297979	3373
CCNA2	4.46e-26	0.5285435	24558
PRL2C2	0.007650818	0.5278152	14126
ECT2	1.55e-19	0.5275722	12501
PDGFRL	6.95e-16	0.5272174	7917
FYN	5.76e-05	0.5270575	2594
COL6A1	5.56e-66	0.5270528	52386
PRIM1	3.56e-22	0.5265801	10152
LEMD3	2.06e-08	0.525913	3642
BRCA2	1.59e-05	0.5192525	2955
KIF15	6.43e-05	0.5192324	2711
COL6A2	8.47e-31	0.5192119	20630
CPNE2	7.75e-26	0.5161268	10491
CAR9	1.47e-09	0.5124064	13729
BCAT1	0.0013622659	0.5119702	2839
B2M	1.15e-69	0.511599	114210
TIMELESS	3.14e-07	0.5100504	3704
KIF4	0.0003842847	0.5085044	2488
MSRA	4.83e-13	0.507087	5496
CENPE	9.06e-15	0.5064782	16799
ACADM	8.3e-63	0.5019428	47316
HSPB6	2.62e-08	0.5008596	4215
ASPA	5.28e-08	0.5000901	8566
TSHZ2	8.84e-11	0.4979507	7122
ADGRG6	5.61e-26	0.4975121	13267
FRMD5	0.02351868	0.4960736	2054
NAV3	9.35e-17	0.4939125	9108
ZFP367	2.79e-05	0.4928831	3325
EGR3	0.01404282	0.4926777	2569
NR4A1	1.83e-13	0.4913462	22718
FOXM1	0.0013365448	0.4906378	2772
PBK	2.26e-15	0.4882582	10214
1700016C15RIK	2.12e-09	0.4879367	6969
EIF4G3	3.93e-23	0.4871851	11304
SLC35E3	4.72e-10	0.4862276	4973
NR4A2	2.38e-10	0.4847653	10084
PTPRD	0.000256591	0.4824292	3330
NBEA	7.14e-19	0.4813919	9977
PTPRB	3.36e-18	0.4807923	10275
NT5DC3	3.9e-05	0.4791932	3149
TSPAN13	2.87e-34	0.4769228	41088
CLSTN1	0.02687955	0.4759453	2066
FAR1	1.2e-41	0.4749658	27547
UBE2C	2.46e-17	0.4749353	49919
GLS2	7.76e-15	0.4740962	8291
SHC2	0.007608788	0.4728062	2461
SLC44A3	3e-20	0.469162	12933
TAMALIN	4.08e-16	0.4683743	11018
NTN4	0.0107666	0.4661288	2830
IL15	4.66e-06	0.4644965	4013
GADD45B	4.08e-16	0.4636766	19560
CIT	1.02e-05	0.4636604	4195
9130230L23RIK	2.72e-05	0.4618026	3783
CCNB1	3.42e-13	0.4616017	11660
NR1H4	2.3e-06	0.4607495	4725
ORM1	0.01952608	0.4603352	2516
RPA2	1.21e-14	0.4596641	8429
IFITM3	6.65e-29	0.4586636	104211
MECOM	3.48e-40	0.4583693	23946
MDM1	0.03212216	0.4573805	2314
AUNIP	0.010364436	0.454649	2664
NCAPG2	3.82e-10	0.4542319	6689
AAK1	1.4e-09	0.4533005	5569
PAN2	0.02835038	0.4529919	2215
SMC4	1.34e-49	0.4512624	40947
NCAPG	7.5e-06	0.4499608	4282
UNG	0.0254088	0.4490874	2483
TMPO	2.72e-71	0.4488355	53093
RFX3	0.02772353	0.448089	2387
LY6A	1.01e-37	0.4453181	274472
FAM20C	5.57e-08	0.4450765	5455
FXYD4	0.02646	0.4431316	2472
NAPEPLD	0.00392535	0.4420309	2698
CLSPN	3.96e-06	0.4414997	4448
ZDHHC17	7.7e-16	0.44114	9217
SGMS2	1.11e-42	0.44071	29481
HPX	0.013303125	0.4398443	2554
LRIG2	0.0019835577	0.4389388	2879
CENPU	0.003414207	0.4378474	3021
SPC25	1.95e-06	0.4367654	5391
GSDME	3.49e-16	0.4366902	9869
ITPR1	0.000792024	0.4361544	3243
UTP20	2.07e-10	0.4351338	6980
SLC5A3	2.42e-13	0.435065	10721
RAD51AP1	4.91e-06	0.4327434	4401
SPRY1	1.89e-09	0.432183	6714
PKNOX1	0.047358	0.4311776	2528
KITL	9.63e-31	0.4299679	28922
MND1	4.07e-06	0.428324	4903
AHI1	0.0002012985	0.4277229	3751
AQP1	8.59e-21	0.4271669	18032
MAPRE2	8.92e-10	0.4270131	6663
SGO1	3.12e-07	0.4257448	7060
CHPT1	0.03880928	0.4249154	3048
TOP2A	3.9e-16	0.4241885	33095
ATP8A1	4.21e-09	0.4235162	6882
ANGPTL4	3.26e-13	0.4217853	46247
RBP2	3.61e-14	0.421058	82634
MORC4	0.008732559	0.4204863	3468
HMGB2	2.58e-53	0.4202183	230588
MMS22L	0.0423507	0.4193819	2633
MKRN2OS	0.002238184	0.4176748	3673
STMN1	4.26e-51	0.4173726	89841
PAX9	2.22e-05	0.4143701	4825
NUP107	1.05e-06	0.4141355	5221
IL5RA	9.01e-08	0.4135601	13914
SYCE2	1.19e-13	0.4135083	14220
NDC80	0.0002717625	0.4130794	4328
NUDT17	0.007735216	0.4127543	3009
WLS	4e-47	0.4121873	39034
TTF2	0.0233079	0.4113109	2908
PMF1	7.27e-24	0.4112607	19027
KNL1	0.0020585548	0.4108782	4407
UHRF1	1.26e-09	0.4106493	8216
XPOT	3.18e-18	0.4062727	13090
SBNO2	9.96e-17	0.4054461	12848
RIC8B	7.91e-05	0.4051162	4080
RASSF3	2.69e-10	0.4048859	7717
GM42031	6.61e-13	0.4044982	10051
SPRR1A	2.27e-18	0.4033234	907684
CDKN2C	7.27e-13	0.4024516	10425
PCLAF	1.96e-17	0.4016972	28656
CEP83	1.43e-14	0.4012586	10846
MAML3	7.27e-09	0.4006374	7190
CHEK1	2.53e-06	0.3999028	5571
S100A4	2.86e-31	0.399548	462451
E2F8	0.006269614	0.3984399	3611
TMEM107	4.54e-13	0.3977908	10025
PLCH1	3.2e-09	0.3968749	7164
EN1	5.71e-05	0.3961106	6900
HMGN2	1.19e-24	0.3955216	29177
FOXG1	1.14e-11	0.3953488	9253
SGK1	4.48e-20	0.3950806	41581
BTBD11	0.00010783526	0.3943272	4673
MBNL1	1.02e-45	0.3938898	45362
SKAP2	1.04e-25	0.3938121	19623
MPP6	3.11e-39	0.3937023	37114
H2-D1	5.74e-61	0.3922721	111160
NPNT	1.75e-61	0.3922429	74053
KIF20B	4.51e-06	0.3905247	9313
SETBP1	6.55e-06	0.3904688	5706
ZFHX3	5.02e-42	0.3898376	40891
BTBD2	4.36e-05	0.3889872	4847
RNASE4	0.00011760441	0.3847712	7024
PLK4	6.02e-08	0.3832932	8651
RALGAPA1	0.00013342824	0.3832179	4685
OXCT1	1.17e-23	0.3824733	20015
INCENP	1.27e-07	0.3798519	8923
ASF1B	5.19e-06	0.3781334	6660
CASP4	4.21e-05	0.377606	6469
ZDHHC2	8.25e-17	0.3774461	14639
CBX6	0.010364436	0.3770958	3864
ADGRA3	0.000703885	0.3769274	4261
SIAH2	2.51e-10	0.3759498	9491
EPS8L2	0.00300776	0.3738615	4167
ENKD1	0.0013365448	0.37373	4211
CENPK	0.019400564	0.3736372	3646
ADGRL2	7.68e-11	0.3732827	12425
FXYD3	4.29e-06	0.3730356	47686
REV3L	4.63e-07	0.3705652	6802
CDK14	1.36e-14	0.3699895	13220
GPSM2	0.00017359457	0.3687801	5242
ANLN	1.45e-07	0.3680289	10573
RBL2	0.007735216	0.3677641	3855
D16ERTD472E	0.0011945906	0.3648663	4886
SF3A2	1.35e-10	0.3646152	8999
TRIM59	4.55e-17	0.3630216	17447
PTBP2	1.94e-09	0.3629291	8910
MPP7	2.13e-06	0.3622907	6612
CCNL1	2.27e-37	0.3615772	56349
DOK4	0.018306294	0.3610665	3872
CDH1	2.69e-39	0.3608709	43977
APAF1	0.003371575	0.360724	4277
STK11	5.44e-14	0.3597909	12750
ESYT1	1.58e-09	0.359591	9377
TACC3	6.51e-08	0.3593896	10809
HELLS	1.17e-12	0.3589664	16915
SLC10A7	0.002601258	0.3584962	4329
MCM7	1.4e-17	0.3580256	21984
ZFC3H1	7.09e-07	0.3579659	7367
STARD4	7.35e-06	0.3561476	7670
DBT	3.59e-08	0.3553549	9004
LOCKD	1.04e-08	0.3553544	12803
PTPRG	0.02477826	0.355155	3902
BICC1	1.31e-13	0.3545606	24564
TMEM106B	6.34e-28	0.3527225	26968
SIRT1	0.0016836798	0.3522541	4939
PA2G4	4.38e-49	0.3513548	65003
PSD3	1.04e-06	0.3507034	7889
HOXA10	0.001381568	0.3503024	5065
SLC1A5	0.0007231768	0.3501665	5491
ATP1A1	1.98e-48	0.3498912	82598
INTS3	1.3e-05	0.3497345	6423
LAMB1	8.88e-08	0.3492914	9298
SEMA4A	2.18e-06	0.3487994	7413
SLC12A2	1.7e-25	0.3487929	39707
PIP5K1C	0.019274116	0.3483374	3934
CDK2	5.87e-06	0.3475951	6996
PWP1	1.73e-05	0.3456204	6715
MINDY2	1.13e-07	0.3452357	9772
IRS2	0.006460384	0.3447205	5541
SVIP	0.005097246	0.3445481	4913
AP1S2	0.0010806	0.3439425	5302
ELL2	6.74e-05	0.343903	6364
SAA2	9.66e-07	0.3436926	7501
LDLR	3.21e-10	0.3430796	17222
ASNS	0.0002955688	0.3424554	13686
PORCN	5.97e-05	0.3419632	7648
CHRNB1	0.0002164921	0.3409138	5857
TBK1	5.76e-06	0.3380669	7198
KIF22	0.0019557412	0.337358	6173
TWSG1	2.55e-12	0.3366475	13328
NCAPD2	0.020219801	0.336327	4901
OSBPL8	0.000509527	0.3361879	5626
MCM2	2.42e-05	0.33509	7437
TMEM259	5.72e-13	0.3346465	12653
TDG	4.47e-11	0.3341239	11963
TPGS1	8.07e-09	0.3336561	9657
CTSH	8.2e-19	0.332838	35789
GPM6B	3.99e-09	0.3328074	11822
F2RL1	9.61e-06	0.3324233	8474
RPA3	8.99e-28	0.3318423	32601
NFATC3	2.36e-07	0.3313093	8821
FRS2	0.03107727	0.3312358	4162
NETO2	0.009558976	0.3306371	5455
MBD3	8.17e-31	0.3305591	32245
SKA1	0.006375412	0.3297896	6425
CENPA	2.32e-09	0.3294515	51768
GLIS3	0.0008609138	0.3290725	5708
COL4A1	1.9e-28	0.3287614	37704
KCNQ1OT1	1.39e-13	0.3283122	37917
DMBT1	7.74e-05	0.3277836	78060
CS	1.79e-25	0.3275329	26821
ALB	0.012097264	0.3271258	7732
CEP295	0.004905638	0.3265776	5147
CNPY2	7.34e-43	0.3259708	53090
DYRK2	0.00010848019	0.3254647	6898
SMG5	5.72e-07	0.3254139	8550
EPHB4	0.0222537	0.3242024	4616
TMEM117	0.04089908	0.3242009	4350
BMT2	6.67e-07	0.3241215	8885
SAA1	3.01e-05	0.3239438	8172
MON2	0.0006585552	0.3224933	5857
CENPM	8.84e-06	0.3224444	10002
DCBLD1	8.89e-06	0.3221959	8812
RIPOR1	0.00426656	0.3211226	5343
SLC16A3	0.002858037	0.3207672	13790
VNN1	0.001355852	0.320275	8383
SEMA3E	1.84e-09	0.3201492	13858
CGREF1	0.00012106215	0.3197612	7675
WASHC4	1.82e-07	0.3197563	9788
MYO9A	0.019420875	0.3193643	4820
SLC35E1	0.003456831	0.3191187	5399
CAND1	8.52e-09	0.3188246	11024
HMGCS1	5.6e-07	0.317906	19717
HMGN5	4.82e-06	0.3172022	12517
LARP1B	3.05e-12	0.3163722	15760
TBCK	0.003520588	0.3138282	5598
CDKN2D	9.06e-07	0.3133139	12413
NDUFA4	5.85e-108	0.3130471	416078
PROM1	2.02e-08	0.3128811	22143
GT(ROSA)26SOR	7.38e-08	0.3126938	14129
OAZ1	6.75e-184	0.3125157	353575
PITHD1	1.81e-05	0.3119452	8072
SMARCC2	5.94e-06	0.3116085	8441
BACE1	4.14e-06	0.3107416	8606
SPCS3	2.49e-18	0.3104816	22480
GALE	0.00010588035	0.3104562	8110
TMEM168	0.000520248	0.3103956	6370
RAB5B	1.58e-05	0.3098595	8046
CDK19	3.58e-05	0.3093561	7688
DNMT1	4.54e-07	0.3092298	11415
KHDC4	1.42e-07	0.3091344	11012
LURAP1L	8.02e-10	0.3087764	17749
KIF23	1.51e-06	0.3087517	11795
TSPAN31	4.8e-21	0.3084688	24644
COL4A2	1.5e-09	0.3082566	14881
RNF167	5.61e-06	0.3077636	9262
GABPB2	3.76e-07	0.3075862	10744
CDCA3	2.27e-07	0.3075109	21003
RSRP1	2.15e-24	0.3074006	54101
MYL6	1.24e-182	0.307336	754099
APOA2	0.015138544	0.3072108	5401
RACGAP1	1.33e-05	0.3066852	12343
ALDH3A2	0.018853128	0.3052267	5440
FUT8	4.05e-12	0.3052189	18374
IKBKG	0.02372832	0.3051706	5331
CNPY4	0.0002327464	0.3049279	7312
SLC25A13	0.0010720048	0.3044591	6728
DOT1L	6.34e-05	0.3039245	8384
PNISR	5.67e-10	0.3036014	15042
NCLN	1.2e-12	0.30343	17172
HSPB1	2.64e-05	0.3033987	100084
BARX2	0.003477978	0.3029532	12308
TMEM238	6.43e-15	0.300918	21432
UBE2G2	4.58e-06	0.3007	9584
DNAJB14	1.14e-13	0.3003304	24343
IRX5	0.0011386889	0.3002276	7454
GALNT4	0.018663807	0.2998089	5579
FTO	4.69e-06	0.2988087	9466
TSHZ1	2.06e-05	0.298768	9383
NFAT5	9.55e-23	0.298655	41884
STX11	0.009770972	0.2984155	6491
MAN1A2	9.62e-25	0.2977562	33301
VPS4A	3.21e-08	0.2959001	11603
RSPRY1	1e-06	0.2956057	10490
NCOA7	9.43e-08	0.293628	12406
METTL1	6.37e-14	0.2935946	22336
CKAP4	6.23e-17	0.2934982	27750
FMR1	2.83e-08	0.2929509	13226
SACS	0.02604156	0.2927263	6579
HS3ST1	7.34e-13	0.2924774	37755
DNPH1	0.0032217	0.2921907	7881
TMEM171	4.8e-06	0.2909268	11264
SASH1	0.003520588	0.290209	6794
MAGI3	0.00015189024	0.2894509	8787
ADRB2	0.002965068	0.2891085	10979
MCL1	7.51e-37	0.2889164	67017
SERPINA1C	0.0358768	0.2888145	2304
MDM2	4.29e-06	0.2886497	10617
EFNA5	3.25e-06	0.2880563	11299
HMGCR	2.53e-06	0.2880121	14460
CDC20	0.017379228	0.2868541	14694
DHFR	0.02372832	0.2867378	6693
SLC7A6OS	0.0002457524	0.2865704	9397
ANP32E	8.9e-22	0.2862541	44764
CPE	1.96e-45	0.2857791	129979
TRAPPC10	0.00014275725	0.2857487	8026
MINDY1	6.24e-16	0.2855424	22215
ATP5B	7.26e-105	0.2855338	233040
HERPUD1	5.56e-09	0.2853439	49107
FAM149A	5.37e-11	0.2846289	18667
SMC2	1.98e-08	0.2841359	22509
GATD3A	0.009579864	0.2839757	6299
HNRNPH3	0.000369189	0.2839188	8227
PNRC2	1.24e-05	0.2827642	10555
ATP1B1	2.73e-16	0.2825807	75632
NFIA	1.48e-10	0.2822834	20332
ARL2BP	9.47e-16	0.2821042	23197
TYMS	4.51e-13	0.2819481	27610
PDE4DIP	1.65e-08	0.2815417	15080
RRM2	4.17e-09	0.280909	28784
2610001J05RIK	8.91e-31	0.2807627	46032
RPS6KA3	0.0002414139	0.2804652	8648
CDK4	2.43e-36	0.2797458	64199
H2AZ1	7.57e-40	0.2794166	828928
SPC24	0.00018917261	0.2781709	11725
EFEMP2	3.03e-08	0.2781173	14454
ALG14	7.06e-06	0.2779913	10806
LRPAP1	5.63e-06	0.2779361	11257
PTGES3	2.01e-63	0.2778002	135744
B9D1	5.63e-05	0.2776087	9935
CD63	4.39e-66	0.2772967	187549
APPL1	0.03546144	0.2771076	6302
MRPL42	4.67e-40	0.2770654	69033
RELL1	0.002281014	0.2770201	8220
RFC5	6.54e-05	0.2770118	10659
CLCN5	0.0004210382	0.2767804	8901
APLP2	7.39e-18	0.2765699	48581
NOPCHAP1	0.002836812	0.2757439	8371
JADE1	0.000134506	0.2745266	11032
CHD2	0.0003735152	0.2744653	10103
ZFP704	0.009791847	0.2739171	8396
MUC1	2.39e-13	0.2737348	67957
CENPF	0.003733344	0.273496	23657
FBXW9	1.01e-05	0.2734567	10966
LIG1	0.0004901036	0.2726575	12000
OS9	2.5e-11	0.2725971	20178
ILF2	6.62e-15	0.2725948	25430
REXO1	0.0011494392	0.2725868	8236
IPO8	0.014485551	0.2721321	6601
DDHD2	0.0004296798	0.2718193	8811
ANK3	6.14e-07	0.2715289	13923
ZDHHC21	0.00017876454	0.2709243	10818
IFITM2	6.19e-43	0.2707883	209102
IFI27	9.11e-18	0.2707388	43578
PLCE1	0.007629804	0.2703916	8219
XRCC4	0.02625204	0.2703694	6456
BSG	3.76e-09	0.270239	356605
EPHA2	2.26e-10	0.2699795	27231
DNAJC9	0.0004943952	0.2694659	9473
RAB3IP	1.44e-06	0.268871	11544
DBF4	3.03e-05	0.267896	15685
ZFP703	1.57e-05	0.2678712	13689
VBP1	9.77e-14	0.267768	23301
CYP51	1.11e-06	0.2676806	29976
CLCC1	0.000897479	0.2673718	8642
IKBIP	6.65e-07	0.2673193	13153
SUOX	0.00011391606	0.2672737	13196
CKS2	4.56e-15	0.2672661	52655
CTCF	1.46e-12	0.2668359	22722
ARHGAP18	6.04e-05	0.2664593	10925
PDXK	0.004671958	0.2662655	10749
CTDSP2	3.36e-06	0.2660128	12982
ZFP1	0.03191536	0.2648154	7034
MARS1	0.031707	0.2647913	7001
PIK3CA	1.21e-07	0.2646949	15186
H2AX	0.0016215376	0.264641	10744
PWWP3A	0.003477978	0.2641492	7957
PLPBP	1.97e-06	0.2641082	12862
NCOR1	3.66e-25	0.2636079	44034
AKTIP	0.0005721408	0.2635311	9188
TCF3	1.98e-07	0.2627856	13899
ATP11B	8.54e-10	0.262704	19746
GM10076	3.68e-62	0.2626983	140342
CHD9	0.0001221416	0.2622426	10671
PDE7A	0.042146	0.2618565	6980
ACD	0.02204592	0.2617917	7116
PTGFRN	2.62e-09	0.260767	19319
LTBP1	2.77e-09	0.2603291	23009
TET2	0.000671522	0.2600596	11807
TMTC3	0.0325402	0.2599293	7104
TCEAL9	1.85e-10	0.2599189	29793
R3HDM4	1.01e-11	0.2598793	22574
PDX1	0.0275132	0.259244	8128
PCF11	0.0006348138	0.2583953	10572
ANKRD13C	1.16e-05	0.2582152	12038
ZRANB2	2.74e-19	0.2580925	39376
SLC16A1	1.17e-09	0.2580514	20214
MPC1	9.14e-26	0.2577975	45771
E2F5	0.008944812	0.2574752	8084
R3HDM2	1.7e-07	0.2571296	15101
CSNK1G2	1.3e-08	0.2569603	16345
ICA1	0.015626835	0.2565	7743
FAT1	1.99e-15	0.2563902	33418
CCT2	2.28e-45	0.256048	104656
USP15	6.98e-10	0.255988	18331
PPA2	7.89e-18	0.2557712	33744
RSRC1	6.97e-13	0.2556553	24107
MAN1A	2.21e-08	0.2554353	20926
RRP1	4.53e-28	0.2547657	46264
MSMO1	3.74e-09	0.2539567	44601
CENPW	1.23e-05	0.2538942	18727
LSM8	2.87e-25	0.2537455	54527
DNAJC15	3.81e-07	0.2530153	15549
AHCYL1	1.07e-06	0.2523692	14462
IDI1	0.049444	0.2521635	13640
AMFR	3.47e-08	0.2519037	16519
GATAD2B	2.18e-07	0.2513752	16339
ATP6AP2	8.63e-08	0.2502939	17638
UQCR11	6.95e-79	0.2502718	235162
TMCO3	0.03734523	0.2502433	7368
C1GALT1	6.98e-07	0.2501761	15809
SEC24D	0.010850862	0.2491648	8808
2310011J03RIK	1.98e-06	0.2486546	13795
MBIP	0.03337592	0.2484137	7832
PHLDA1	1.81e-22	0.2477999	174597
RPL41	6.18e-123	0.2476056	2149377
CERS2	4.33e-23	0.2470288	48892
TCF4	2.15e-07	0.2469093	23280
HSPA4L	7.89e-20	0.2466911	60155
FGD6	0.03462696	0.2462738	7695
PHIP	6.54e-07	0.2457492	18584
CNOT2	0.00035838	0.2451789	10757
HOOK3	5.44e-08	0.2440815	18903
PCOLCE	6.09e-20	0.2433586	64640
NFIX	5.73e-08	0.2427666	22127
GIMD1	0.00011933899	0.2425327	18324
EEF2	1.43e-76	0.242004	238399
MEIS2	3.87e-10	0.241117	25427
RNF115	6.84e-06	0.2404351	14250
FOXN3	0.02835038	0.2402185	9726
LYPLA2	0.005821888	0.2398216	9391
LMNA	2.43e-36	0.2397729	263667
CENPQ	0.042146	0.2395309	10456
TXNRD1	5.22e-10	0.2389544	22928
NAP1L1	4.62e-39	0.2384967	172736
SLC35D1	0.005758214	0.2384414	10947
RANGAP1	6.15e-05	0.2383555	16319
NDUFA12	8.63e-47	0.2381484	110108
RTCB	2.43e-11	0.2364944	24296
HMG20B	1.92e-16	0.2361801	35313
B4GALNT1	2.67e-08	0.235879	22415
RRM1	0.016005768	0.2358373	10112
POLB	6.97e-06	0.2357066	15153
GCLC	1.7e-08	0.2350878	44929
RAET1E	0.0010891944	0.2350565	10870
SARNP	3.75e-33	0.2349409	70196
ADAM10	1.84e-16	0.2348359	48833
UHRF1BP1L	2.19e-05	0.2348295	15857
HSP90B1	2.74e-18	0.2335207	287784
4932438A13RIK	0.0001234446	0.2331008	13637
SLC25A3	9.49e-93	0.2327833	285222
ATAD2	0.002451684	0.2326778	14779
OTUD7B	0.001745793	0.2318626	11777
POLR2E	1.1e-30	0.2315293	72086
COL18A1	3.47e-17	0.2313793	75144
MAP2K2	5.65e-28	0.2309573	58098
RPS15	3.79e-119	0.2309151	938607
DNAJB4	0.00023925	0.2303303	15658
MOSPD3	0.0008157903	0.2303	12313
DCTN2	3.62e-19	0.2300238	40078
SSR2	2e-34	0.2293982	111882
GAR1	1.62e-11	0.2293216	32740
LSM7	2.86e-27	0.2286416	73150
LNPEP	0.00018548892	0.2286346	14349
GPD2	4.31e-06	0.2286	18330
CAV2	6.2e-15	0.2283695	47725
PTMS	1.28e-29	0.2282741	135815
LMNB1	0.00270837	0.2281804	14276
AP3D1	0.01275271	0.2281776	9584
ATP1B3	4.41e-10	0.2281347	24711
GOLIM4	3.92e-11	0.2280327	38658
SYNE2	0.0016257748	0.2279088	12563
NID1	2.08e-06	0.2276386	24457
BET1	0.00015860936	0.2273764	14226
DYNC1LI2	0.0009492058	0.2273456	12389
CAPZA2	2.17e-36	0.2272075	79583
SAMD9L	4.23e-05	0.22717	27201
HIPK1	0.0010570224	0.2271625	12373
VARS	2.35e-05	0.2271224	18636
LTA4H	2.31e-05	0.226843	14525
UBE2N	7.95e-30	0.2268314	67124
MRPL54	4.14e-30	0.2265419	69571
ARL1	1.36e-17	0.2260485	40613
IGSF3	0.018116867	0.2259146	10283
OSTC	2.58e-30	0.2257827	100217
PCM1	1.51e-07	0.2257287	22442
IRX3	0.04756622	0.2252753	11689
ACER3	0.015816696	0.2244276	10935
ABLIM1	5.52e-05	0.2240429	16368
CEPT1	1.24e-08	0.2240004	24350
KRR1	0.018012368	0.2238626	10152
TTC14	1.57e-05	0.2235322	18420
AGPAT3	0.0014759352	0.2233051	12187
TLE5	3.95e-45	0.2231976	119926
FOXP1	1.83e-16	0.2221829	49830
UBXN8	0.02625204	0.2220223	9546
CDK2AP2	7.7e-20	0.2214087	76453
CIAO2B	7.31e-20	0.2212121	48635
NUP37	0.00232362	0.2211737	13343
ENSA	3.86e-05	0.2210766	15764
SCNM1	0.0094963	0.2204135	10525
PRPF38B	8.79e-12	0.2199316	36223
B4GALT6	7.42e-09	0.2194866	29729
